dispute_id,txn_id,opened_date,reason_code,dispute_type,dispute_amount_uzs,status,resolved_date
1,9,2025-02-19,product_not_received,chargeback,19923,lost,2025-02-28
2,13,2025-12-29,product_not_received,pre_arbitration,271635,lost,2026-01-17
3,18,2025-11-23,fraud,chargeback,759604,won,2025-12-19
4,69,2025-05-12,quality,pre_arbitration,145456,won,2025-05-20
5,76,2025-11-28,fraud,chargeback,937812,won,2025-12-28
6,118,2025-03-23,product_not_received,retrieval_request,76291,won,2025-04-12
7,124,2025-10-12,duplicate,chargeback,183535,won,2025-10-30
8,139,2025-12-02,duplicate,chargeback,59505,lost,2025-12-18
9,170,2026-01-24,quality,chargeback,476871,lost,2026-02-07
10,175,2025-05-27,product_not_received,retrieval_request,31626,lost,2025-06-14
11,181,2025-12-31,product_not_received,pre_arbitration,33678,won,2026-01-20
12,189,2025-11-20,duplicate,pre_arbitration,56547,lost,2025-12-18
13,238,2026-01-08,product_not_received,chargeback,132734,open,
14,309,2025-02-05,product_not_received,chargeback,155426,lost,2025-02-18
15,318,2025-12-15,product_not_received,chargeback,82904,open,
16,332,2025-12-19,subscription_cancel,chargeback,90568,won,2025-12-30
17,378,2025-05-04,product_not_received,retrieval_request,132308,won,2025-05-11
18,455,2025-10-01,duplicate,chargeback,439041,lost,2025-10-13
19,522,2025-10-14,quality,chargeback,168971,lost,2025-10-22
20,556,2026-01-15,product_not_received,retrieval_request,108817,won,2026-01-30
21,686,2025-03-02,subscription_cancel,chargeback,38664,lost,2025-03-26
22,694,2025-06-24,quality,retrieval_request,19601,won,2025-07-16
23,724,2025-09-01,quality,chargeback,333836,won,2025-09-20
24,785,2025-01-10,product_not_received,retrieval_request,62963,won,2025-01-30
25,800,2025-12-17,subscription_cancel,chargeback,383711,lost,2026-01-05
26,826,2025-08-04,product_not_received,chargeback,159113,won,2025-08-26
27,849,2025-03-30,fraud,chargeback,4234787,open,
28,871,2025-07-28,fraud,chargeback,1353308,lost,2025-08-08
29,917,2025-12-26,quality,chargeback,118815,lost,2026-01-20
30,931,2025-12-28,quality,retrieval_request,109431,won,2026-01-21
31,940,2025-12-30,quality,chargeback,663572,lost,2026-01-29
32,968,2025-03-04,quality,chargeback,39832,lost,2025-03-27
33,970,2025-09-03,product_not_received,pre_arbitration,98064,lost,2025-09-17
34,999,2025-02-19,duplicate,chargeback,29369,lost,2025-03-10
35,1168,2025-05-07,product_not_received,pre_arbitration,51222,won,2025-05-30
