settlement_id,merchant_id,batch_date,settled_ts,gross_amount_uzs,commission_uzs,net_amount_uzs,holdback_uzs
1,1,2025-01-11,2025-01-12 08:00:00,89700,739,88961,0
2,1,2025-02-01,2025-02-02 09:00:00,247300,2234,245066,0
3,1,2025-02-09,2025-02-11 18:00:00,252000,2175,249825,0
4,1,2025-03-09,2025-03-11 18:00:00,36400,279,36121,0
5,1,2025-03-15,2025-03-16 18:00:00,61400,632,60768,0
6,1,2025-04-19,2025-04-20 10:00:00,220900,1646,219254,0
7,1,2025-04-25,2025-04-26 14:00:00,55400,577,54823,0
8,1,2025-05-05,2025-05-06 08:00:00,454500,5379,449121,0
9,1,2025-05-06,2025-05-08 08:00:00,219700,2458,217242,0
10,1,2025-05-28,2025-05-30 16:00:00,185300,1468,183832,0
11,1,2025-06-08,2025-06-09 07:00:00,309400,2598,306802,0
12,1,2025-06-13,2025-06-14 19:00:00,35500,273,35227,0
13,1,2025-07-08,2025-07-10 09:00:00,165700,1220,164480,0
14,1,2025-07-09,2025-07-11 17:00:00,38000,370,37630,0
15,1,2025-07-17,2025-07-18 07:00:00,68600,636,67964,0
16,1,2025-07-20,2025-07-22 16:00:00,132500,936,131564,0
17,1,2025-07-28,2025-07-30 06:00:00,29600,225,29375,0
18,1,2025-08-17,2025-08-18 17:00:00,212900,1537,211363,0
19,1,2025-08-24,2025-08-26 11:00:00,45200,534,44666,0
20,1,2025-10-04,2025-10-05 10:00:00,358800,4014,354786,0
21,1,2025-10-06,2025-10-07 12:00:00,37700,420,37280,0
22,1,2025-10-13,2025-10-15 19:00:00,138000,1187,136813,0
23,1,2025-11-03,2025-11-04 14:00:00,52600,447,52153,0
24,1,2025-11-11,2025-11-12 16:00:00,153400,1247,152153,0
25,1,2025-11-14,2025-11-15 16:00:00,538200,5240,532960,0
26,1,2025-11-15,2025-11-17 13:00:00,167100,1946,165154,0
27,1,2025-11-20,2025-11-21 12:00:00,359500,2662,356838,0
28,1,2025-11-23,2025-11-25 12:00:00,448800,3302,445498,0
29,1,2025-12-01,2025-12-04 19:00:00,102700,1137,101563,0
30,1,2025-12-20,2025-12-24 16:00:00,156700,1574,155126,0
31,2,2025-02-23,2025-02-24 16:00:00,1283100,26389,1143941,112770
32,2,2025-04-03,2025-04-04 18:00:00,129200,3105,117216,8879
33,2,2025-04-05,2025-04-06 17:00:00,1324800,24356,1205403,95041
34,2,2025-04-15,2025-04-17 09:00:00,1329300,28520,1195090,105690
